titles,year,category
Multi-Part Pattern Analysis: Combining Structure Analysis and Source Separation to Discover Intra-Part Repeated Sequences.,2017,"Transcription and annotations,Recognition / Analysis /Classification"
"One-Step Detection of Background, Staff Lines, and Symbols in Medieval Music Manuscripts with Convolutional Neural Networks.",2017,Transcription and annotations
Optical Music Recognition with Convolutional Sequence-to-Sequence Models.,2017,Recognition / Analysis /Classification
Re-Visiting the Music Segmentation Problem with Crowdsourcing.,2017,Recognition / Analysis /Classification
Singing Voice Separation with Deep U-Net Convolutional Networks.,2017,Transcription and annotations
Sketching Sonata Form Structure in Selected Classical String Quartets.,2017,Similarity
Image Quality Estimation for Multi-Score OMR.,2015,Transcription and annotations
Comparative Music Similarity Modelling Using Transfer Learning Across User Groups.,2015,Similarity
Modeling Genre with the Music Genome Project: Comparing Human-Labeled Attributes and Audio Features.,2015,Similarity
Cover Song Identification with Timbral Shape Sequences.,2015,Other
On the Impact of Key Detection Performance for Identifying Classical Music Styles.,2015,"Transcription and annotations,Systems issues"
Chord Detection Using Deep Learning.,2015,Transcription and annotations
Temporal Music Context Identification with User Listening Data.,2015,Other
Improving Music Recommendations with a Weighted Factorization of the Tagging Activity.,2015,Other
An Efficient State-Space Model for Joint Tempo and Meter Tracking.,2015,Transcription and annotations
Automatic Handwritten Mensural Notation Interpreter: From Manuscript to MIDI Performance.,2015,Other
Infinite Superimposed Discrete All-Pole Modeling for Multipitch Analysis of Wavelet Spectrograms.,2015,Recognition / Analysis /Classification
Melodic Similarity in Traditional French-Canadian Instrumental Dance Tunes.,2015,Similarity
A Semantic-Based Approach for Artist Similarity.,2015,Other
Predicting Pairwise Pitch Contour Relations Based on Linguistic Tone Information in Beijing Opera Singing.,2015,Other
Song2Quartet: A System for Generating String Quartet Cover Songs from Polyphonic Audio of Popular Music.,2015,Similarity
Exploring Data Augmentation for Improved Singing Voice Detection with Neural Networks.,2015,Transcription and annotations
Audio Chord Recognition with a Hybrid Recurrent Neural Network.,2015,Recognition / Analysis /Classification
Design and Evaluation of a Probabilistic Music Projection Interface.,2015,"Human-computer interaction and interfaces,Recognition / Analysis /Classification"
Conceptual Blending in Music Cadences: A Formal Model and Subjective Evaluation.,2015,Other
Harmonic-Percussive Source Separation Using Harmonicity and Sparsity Constraints.,2015,Transcription and annotations
A Hierarchical Bayesian Framework for Score-Informed Source Separation of Piano Music Signals.,2015,Transcription and annotations
Automatic Tune Family Identification by Musical Sequence Alignment.,2015,Other
Evaluation of Album Effect for Feature Selection in Music Genre Recognition.,2015,"Recognition / Analysis /Classification,Similarity"
Music Pattern Discovery with Variable Markov Oracle: A Unified Approach to Symbolic and Audio Representations.,2015,Recognition / Analysis /Classification
Automatic Solfège Assessment.,2015,Other
Evaluating Conflict Management Mechanisms for Online Social Jukeboxes.,2015,Other
Particle Filters for Efficient Meter Tracking with Dynamic Bayesian Networks.,2015,Other
Analysis of the Evolution of Research Groups and Topics in the ISMIR Conference.,2015,Recognition / Analysis /Classification
A Toolkit for Live Annotation of Opera Performance: Experiences Capturing Wagner's Ring Cycle.,2015,"Transcription and annotations,Systems issues"
Selective Acquisition Techniques for Enculturation-Based Melodic Phrase Segmentation.,2015,Other
Corpus Analysis Tools for Computational Hook Discovery.,2015,Recognition / Analysis /Classification
Large-Scale Content-Based Matching of MIDI and Audio Files.,2015,Other
Improving Genre Annotations for the Million Song Dataset.,2015,Similarity
A Software Framework for Musical Data Augmentation.,2015,Other
Drum Transcription Using Partially Fixed Non-Negative Matrix Factorization with Template Adaptation.,2015,Transcription and annotations
Beat and Downbeat Tracking Based on Rhythmic Patterns Applied to the Uruguayan Candombe Drumming.,2015,Transcription and annotations
Automated Estimation of Ride Cymbal Swing Ratios in Jazz Recordings.,2015,Other
Musical Offset Detection of Pitched Instruments: The Case of Violin.,2015,Transcription and annotations
Specter: Combining Music Information Retrieval with Sound Spatialization.,2015,"Recognition / Analysis /Classification,Similarity"
Content-Aware Collaborative Music Recommendation Using Pre-trained Neural Networks.,2015,Recognition / Analysis /Classification
Comparative Analysis of Orchestral Performance Recordings: An Image-Based Approach.,2015,"Transcription and annotations,Recognition / Analysis /Classification,Systems issues"
Monaural Blind Source Separation in the Context of Vocal Detection.,2015,Transcription and annotations
Detection of Common Mistakes in Novice Violin Playing.,2015,Transcription and annotations
Probabilistic Modular Bass Voice Leading in Melodic Harmonisation.,2015,Transcription and annotations
An Iterative Multi Range Non-Negative Matrix Factorization Algorithm for Polyphonic Music Transcription.,2015,Similarity
"Training Phoneme Models for Singing with ""Songified"" Speech Data.",2015,Other
Graph-Based Rhythm Interpretation.,2015,Similarity
Let it Bee - Towards NMF-Inspired Audio Mosaicing.,2015,Other
Real-Time Music Tracking Using Multiple Performances as a Reference.,2015,Other
Two Data Sets for Tempo Estimation and Key Detection in Electronic Dance Music Annotated from User Corrections.,2015,Transcription and annotations
Towards Support for Understanding Classical Music: Alignment of Content Descriptions on the Web.,2015,Other
FlaBase: Towards the Creation of a Flamenco Music Knowledge Base.,2015,Other
Discovery of Syllabic Percussion Patterns in Tabla Solo Recordings.,2015,Other
Autoregressive Hidden Semi-Markov Model of Symbolic Music Performance for Score Following.,2015,"Transcription and annotations,Systems issues"
Automatic Mashup Creation by Considering both Vertical and Horizontal Mashabilities.,2015,Other
Hierarchical Evaluation of Segment Boundary Detection.,2015,Recognition / Analysis /Classification
Improving MIDI Guitar's Accuracy with NMF and Neural Net.,2015,Other
Analysis of Intonation Trajectories in Solo Singing.,2015,Recognition / Analysis /Classification
Evaluating the General Chord Type Representation in Tonal Music and Organising GCT Chord Labels in Functional Chord Categories.,2015,Other
Beat Histogram Features from NMF-Based Novelty Functions for Music Classification.,2015,"Transcription and annotations,Recognition / Analysis /Classification"
Music Shapelets for Fast Cover Song Recognition.,2015,Other
Improving Score-Informed Source Separation for Classical Music through Note Refinement.,2015,Transcription and annotations
In Their Own Words: Using Text Analysis to Identify Musicologists' Attitudes towards Technology.,2015,Recognition / Analysis /Classification
Combining Features for Cover Song Identification.,2015,Recognition / Analysis /Classification
Score Following for Piano Performances with Sustain-Pedal Effects.,2015,Transcription and annotations
Understanding Users of Commercial Music Services through Personas: Design Implications.,2015,Human-computer interaction and interfaces
Corpus-Based Rhythmic Pattern Analysis of Ragtime Syncopation.,2015,Recognition / Analysis /Classification
Comparing Voice and Stream Segmentation Algorithms.,2015,"Transcription and annotations,Recognition / Analysis /Classification"
Melody Extraction by Contour Classification.,2015,"Transcription and annotations,Recognition / Analysis /Classification,Similarity"
Comparison of the Singing Style of Two Jingju Schools.,2015,Similarity
Improving Optical Music Recognition by Combining Outputs from Multiple Sources.,2015,Recognition / Analysis /Classification
Relating Natural Language Text to Musical Passages.,2015,Other
Music Boundary Detection Using Neural Networks on Combined Features and Two-Level Annotations.,2015,"Transcription and annotations,Recognition / Analysis /Classification"
Neuroimaging Methods for Music Information Retrieval: Current Findings and Future Prospects.,2015,"Recognition / Analysis /Classification,Similarity"
Improving Visualization of High-Dimensional Music Similarity Spaces.,2015,Similarity
I-Vectors for Timbre-Based Music Similarity and Music Artist Classification.,2015,"Recognition / Analysis /Classification,Similarity"
Correlating Extracted and Ground-Truth Harmonic Data in Music Retrieval Tasks.,2015,"Recognition / Analysis /Classification,Similarity"
Classical Music on the Web - User Interfaces and Data Representations.,2015,Other
A Statistical View on the Expressive Timing of Piano Rolled Chords.,2015,Other
Hybrid Long- and Short-Term Models of Folk Melodies.,2015,Other
Efficient Melodic Query Based Audio Search for Hindustani Vocal Compositions.,2015,Other
Modified Perceptual Linear Prediction Liftered Cepstrum (MPLPLC) Model for Pop Cover Song Recognition.,2015,Other
Raga Verification in Carnatic Music Using Longest Common Segment Set.,2015,Other
Instrument Identification in Optical Music Recognition.,2015,Recognition / Analysis /Classification
Cross-Version Singing Voice Detection in Classical Opera Recordings.,2015,Transcription and annotations
Accurate Tempo Estimation Based on Recurrent Neural Networks and Resonating Comb Filters.,2015,Transcription and annotations
Musicology of Early Music with Europeana Tools and Services.,2015,Other
Singing Voice Separation from Monaural Music Based on Kernel Back-Fitting Using Beta-Order Spectral Amplitude Estimation.,2015,Transcription and annotations
Schematizing the Treatment of Dissonance in 16th-Century Counterpoint.,2015,Other
Predictive Power of Personality on Music-Genre Exclusivity.,2015,Similarity
A Comparison of Symbolic Similarity Measures for Finding Occurrences of Melodic Segments.,2015,Similarity
PAD and SAD: Two Awareness-Weighted Rhythmic Similarity Distances.,2015,Similarity
Four Timely Insights on Automatic Chord Estimation.,2015,Other
Improving Melodic Similarity in Indian Art Music Using Culture-Specific Melodic Characteristics.,2015,Similarity
Searching Lyrical Phrases in A-Capella Turkish Makam Recordings.,2015,Other
Quantifying Lexical Novelty in Song Lyrics.,2015,Other
An Efficient Temporally-Constrained Probabilistic Model for Multiple-Instrument Music Transcription.,2015,Recognition / Analysis /Classification
Electric Guitar Playing Technique Detection in Real-World Recording Based on F0 Sequence Pattern Recognition.,2015,"Transcription and annotations,Recognition / Analysis /Classification"
Extending a Model of Monophonic Hierarchical Music Analysis to Homophony.,2015,Recognition / Analysis /Classification
The MIR Perspective on the Evolution of Dynamics in Mainstream Music.,2015,Other
Theme And Variation Encodings with Roman Numerals (TAVERN): A New Data Set for Symbolic Music Analysis.,2015,Other
Benford's Law for Music Analysis.,2015,Other
An Audio to Score Alignment Framework Using Spectral Factorization and Dynamic Time Warping.,2015,Transcription and annotations
New Sonorities for Early Jazz Recordings Using Sound Source Separation and Automatic Mixing Tools.,2015,Transcription and annotations
Automatic Transcription of Ornamented Irish Traditional Flute Music Using Hidden Markov Models.,2015,Transcription and annotations
Towards Music Imagery Information Retrieval: Introducing the OpenMIIR Dataset of EEG Recordings from Music Perception and Imagination.,2015,"Corpora and databases,Recognition / Analysis /Classification,Similarity"
Emotion Based Segmentation of Musical Audio.,2015,Recognition / Analysis /Classification
MIREX Grand Challenge 2014 User Experience: Qualitative Analysis of User Feedback.,2015,Recognition / Analysis /Classification
AcousticBrainz: A Community Platform for Gathering Music Information Obtained from Audio.,2015,Other
How Music Alters Decision Making - Impact of Music Stimuli on Emotional Classification.,2015,Other
Put the Concert Attendee in the Spotlight. A User-Centered Design and Development Approach for Classical Concert Applications.,2015,Human-computer interaction and interfaces
Analysis of Expressive Musical Terms in Violin Using Score-Informed and Expression-Based Audio Features.,2015,"Transcription and annotations,Recognition / Analysis /Classification"
Spectral Learning for Expressive Interactive Ensemble Music Performance.,2015,Other
Score-Informed Analysis of Intonation and Pitch Modulation in Jazz Solos.,2015,"Transcription and annotations,Recognition / Analysis /Classification"
Data Usage in MIR: History & Future Recommendations,2019,Other
Music Performance Analysis: A Survey,2019,"Transcription and annotations,Recognition / Analysis /Classification,Systems issues"
Intelligent User Interfaces for Music Discovery: The Past 20 Years and What's to Come,2019,Other
20 Years of Automatic Chord Recognition from Audio,2019,Recognition / Analysis /Classification
Zero-shot Learning for Audio-based Music Classification and Tagging,2019,Knowledge representation
Learning Notation Graph Construction for Full-Pipeline Optical Music Recognition,2019,Recognition / Analysis /Classification
An Attention Mechanism for Musical Instrument Recognition,2019,Recognition / Analysis /Classification
MIDI-Sheet Music Alignment Using Bootleg Score Synthesis,2019,Transcription and annotations
mirdata: Software for Reproducible Usage of Datasets,2019,Other
Cover Detection Using Dominant Melody Embeddings,2019,"Transcription and annotations,Similarity"
Identifying Expressive Semantics in Orchestral Conducting Kinematics,2019,Other
The RomanText Format: A Flexible and Standard Method for Representing Roman Numerial Analyses,2019,Other
20 Years of Playlists: A Statistical Analysis on Popularity and Diversity,2019,Recognition / Analysis /Classification
Identification and Cross-Document Alignment of Measures in Music Score Images,2019,Transcription and annotations
"Query-by-Blending: A Music Exploration System Blending Latent Vector Representations of Lyric Word, Song Audio, and Artist",2019,Other
Improving Structure Evaluation Through Automatic Hierarchy Expansion,2019,Recognition / Analysis /Classification
Conditioned-U-Net: Introducing a Control Mechanism in the U-Net for Multiple Source Separations,2019,Transcription and annotations
An Initial Computational Model for Musical Schemata Theory,2019,Other
Evolution of the Informational Complexity of Contemporary Western Music,2019,Other
Deep Unsupervised Drum Transcription,2019,Transcription and annotations
Estimating Unobserved Audio Features for Target-Based Orchestration,2019,Recognition / Analysis /Classification
Towards Automatically Correcting Tapped Beat Annotations for Music Recordings,2019,Transcription and annotations
Algorithmic Ability to Predict the Musical Future: Datasets and Evaluation,2019,Recognition / Analysis /Classification
Learning Soft-Attention Models for Tempo-invariant Audio-Sheet Music Retrieval,2019,"Transcription and annotations,Recognition / Analysis /Classification,Similarity"
Contributing to New Musicological Theories with Computational Methods: The Case of Centonization in Arab-Andalusian Music,2019,Other
Temporal Convolutional Networks for Speech and Music Detection in Radio Broadcast,2019,Transcription and annotations
Towards Explainable Music Emotion Recognition: The Route via Mid-level Features,2019,Recognition / Analysis /Classification
Community-Based Cover Song Detection,2019,Transcription and annotations
Tracking Beats and Microtiming in Afro-Latin American Music Using Conditional Random Fields and Deep Learning,2019,Other
Harmony Transformer: Incorporating Chord Segmentation into Harmony Recognition,2019,Recognition / Analysis /Classification
"Statistical Music Structure Analysis Based on a Homogeneity-, Repetitiveness-, and Regularity-Aware Hierarchical Hidden Semi-Markov Model",2019,Recognition / Analysis /Classification
Towards Measuring Intonation Quality of Choir Recordings: A Case Study on Bruckner's Locus Iste,2019,Other
Guitar Tablature Estimation with a Convolutional Neural Network,2019,Other
Learning a Joint Embedding Space of Monophonic and Mixed Music Signals for Singing Voice,2019,Transcription and annotations
Augmenting Music Listening Experiences on Voice Assistants,2019,Transcription and annotations
Coupled Recurrent Models for Polyphonic Music Composition,2019,Similarity
Hit Song Prediction: Leveraging Low- and High-Level Audio Features,2019,Recognition / Analysis /Classification
Da-TACOS: A Dataset for Cover Song Identification and Understanding,2019,Corpora and databases
Harmonic Syntax in Time: Rhythm Improves Grammatical Models of Harmony,2019,Similarity
Learning to Traverse Latent Spaces for Musical Score Inpainting,2019,Transcription and annotations
Detecting Stable Regions in Frequency Trajectories for Tonal Analysis of Traditional Georgian Vocal Music,2019,Recognition / Analysis /Classification
"The AcousticBrainz Genre Dataset: Multi-Source, Multi-Level, Multi-Label, and Large-Scale",2019,"Corpora and databases,Similarity"
Data-Driven Song Recognition Estimation Using Collective Memory Dynamics Models,2019,Recognition / Analysis /Classification
Towards Interpretable Polyphonic Transcription with Invertible Neural Networks,2019,"Transcription and annotations,Similarity"
Learning to Generate Music With Sentiment,2019,Other
Backtracking Search Heuristics for Solving the All-partition Array Problem,2019,Other
Modeling and Learning Structural Breaks in Sonata Forms,2019,Other
Auto-adaptive Resonance Equalization using Dilated Residual Networks,2019,Other
Analyzing User Interactions with Music Information Retrieval System: An Eye-tracking Approach,2019,"Recognition / Analysis /Classification,Similarity"
A Cross-Scape Plot Representation for Visualizing Symbolic Melodic Similarity,2019,Similarity
JosquIntab: A Dataset for Content-based Computational Analysis of Music in Lute Tablature,2019,"Corpora and databases,Recognition / Analysis /Classification"
A Dataset of Rhythmic Pattern Reproductions and Baseline Automatic Assessment System,2019,"Corpora and databases,Recognition / Analysis /Classification"
Self-Supervised Methods for Learning Semantic Similarity in Music,2019,Similarity
Blending Acoustic and Language Model Predictions for Automatic Music Transcription,2019,Transcription and annotations
Modelling the Syntax of North Indian Melodies with a Generalized Graph Grammar,2019,Other
A Comparative Study of Neural Models for Polyphonic Music Sequence Transduction,2019,Similarity
Learning Similarity Metrics for Melody Retrieval,2019,"Transcription and annotations,Recognition / Analysis /Classification,Similarity"
Multi-Task Learning of Tempo and Beat: Learning One to Improve the Other,2019,Transcription and annotations
Can We Increase Inter- and Intra-Rater Agreement in Modeling General Music Similarity?,2019,Other
"AIST Dance Video Database: Multi-Genre, Multi-Dancer, and Multi-Camera Database for Dance Information Processing",2019,Corpora and databases
Microtiming Analysis in Traditional Shetland Fiddle Music,2019,Recognition / Analysis /Classification
SUPRA: Digitizing the Stanford University Piano Roll Archive,2019,Other
Fast and Flexible Neural Audio Synthesis,2019,Other
DeepSRGM - Sequence Classification and Ranking in Indian Classical Music Via Deep Learning,2019,Knowledge representation
Modeling Music Modality with a Key-Class Invariant Pitch Chroma CNN,2019,Other
Convolutional Composer Classification,2019,Knowledge representation
A Diplomatic Edition of Il Lauro Secco: Ground Truth for OMR of White Mensural Notation,2019,Recognition / Analysis /Classification
"The Harmonix Set: Beats, Downbeats, and Functional Segment Annotations of Western Popular Music",2019,Other
FMP Notebooks: Educational Material for Teaching and Learning Fundamentals of Music Processing,2019,Other
Automatic Assessment of Sight-reading Exercises,2019,Other
Supervised Symbolic Music Style Translation Using Synthetic Data,2019,Similarity
Deep Music Analogy Via Latent Representation Disentanglement,2019,Other
Query by Video: Cross-modal Music Retrieval,2019,"Recognition / Analysis /Classification,Similarity"
Investigating CNN-based Instrument Family Recognition for Western Classical Music Recordings,2019,Recognition / Analysis /Classification
A Bi-Directional Transformer for Musical Chord Recognition,2019,Recognition / Analysis /Classification
SAMBASET: A Dataset of Historical Samba de Enredo Recordings for Computational Music Analysis,2019,"Corpora and databases,Recognition / Analysis /Classification"
Deep-Rhythm for Global Tempo Estimation in Music,2019,"Transcription and annotations,Similarity"
Large-vocabulary Chord Transcription Via Chord Structure Decomposition,2019,Transcription and annotations
"BandNet: A Neural Network-based, Multi-Instrument Beatles-Style MIDI Music Composition Machine",2019,"Recognition / Analysis /Classification,Similarity"
Can We Listen To It Together?: Factors Influencing Reception of Music Recommendations and Post-Recommendation Behavior ,2019,Recognition / Analysis /Classification
Adversarial Learning for Improved Onsets and Frames Music Transcription,2019,Transcription and annotations
Automatic Music Transcription and Ethnomusicology: a User Study,2019,Transcription and annotations
LakhNES: Improving Multi-instrumental Music Generation with Cross-domain Pre-training,2019,Other
"Taking Form: A Representation Standard, Conversion Code, and Example Corpora for Recording, Visualizing, and Studying Analyses of Musical Form",2019,Similarity
Learning Complex Basis Functions for Invariant Representations of Audio,2019,Other
Folded CQT RCNN For Real-time Recognition of Instrument Playing Techniques,2019,Recognition / Analysis /Classification
humdrumR: a New Take on an Old Approach to Computational Musicology,2019,Other
Tunes Together: Perception and Experience of Collaborative Playlists,2019,Other
A Holistic Approach to Polyphonic Music Transcription with Neural Networks,2019,"Transcription and annotations,Similarity"
Generalized Metrics for Single-f0 Estimation Evaluation,2019,Recognition / Analysis /Classification
Learning Disentangled Representations of Timbre and Pitch for Musical Instrument Sounds Using Gaussian Mixture Variational Autoencoders,2019,"Recognition / Analysis /Classification,Similarity"
The ISMIR Explorer - A Visual Interface for Exploring 20 Years of ISMIR Publications,2019,Human-computer interaction and interfaces
Pattern Clustering in Monophonic Music by Learning a Non-Linear Embedding From Human Annotations,2019,Recognition / Analysis /Classification
A Study of Annotation and Alignment Accuracy for Performance Comparison in Complex Orchestral Music,2019,"Transcription and annotations,Systems issues"
Mapping Timing Strategies in Drum Performance,2019,"Transcription and annotations,Systems issues"
Improving Singing Aid System for Laryngectomees With Statistical Voice Conversion and VAE-SPACE,2019,Transcription and annotations
Approachable Music Composition with Machine Learning at Scale,2019,Other
Scalable Searching and Ranking  for Melodic Pattern Queries,2019,Recognition / Analysis /Classification
Adaptive Time-Frequency Scattering for Periodic Modulation Recognition in Music Signals,2019,Recognition / Analysis /Classification
Controlling Symbolic Music Generation based on Concept Learning from Domain Knowledge,2019,Other
Unmixer: An Interface for Extracting and Remixing Loops,2019,Human-computer interaction and interfaces
Quantifying Disruptive Influence in the AllMusic Guide,2019,Other
Leveraging knowledge bases and parallel annotations for music genre translation,2019,Similarity
Generating Structured Drum Pattern Using Variational Autoencoder and Self-similarity Matrix,2019,"Recognition / Analysis /Classification,Similarity"
Rendering Music Performance With Interpretation Variations Using Conditional Variational RNN,2019,"Transcription and annotations,Systems issues"
An Interactive Workflow for Generating Chord Labels for Homorhythmic Music in Symbolic Formats,2019,Other
Quantifying Musical Style: Ranking Symbolic Music based on Similarity to a Style,2019,Similarity
Audio Query-based Music Source Separation,2019,Transcription and annotations
Mosaic Style Transfer Using Sparse Autocorrelograms,2019,Similarity
Automatic Choreography Generation with Convolutional Encoder-decoder Network,2019,Other
Hierarchical Classification Networks for Singing Voice Segmentation and Transcription,2019,"Knowledge representation,Transcription and annotations,Recognition / Analysis /Classification"
VirtuosoNet: A Hierarchical RNN-based System for Modeling Expressive Piano Performance,2019,"Transcription and annotations,Systems issues"
MIDI Passage Retrieval Using Cell Phone Pictures of Sheet Music,2019,"Recognition / Analysis /Classification,Similarity"
A Convolutional Approach to Melody Line Identification in Symbolic Scores,2019,"Transcription and annotations,Similarity"
A Confidence Measure For Key Labelling,2018,Other
Improved Chord Recognition by Combining Duration and Harmonic Language Models,2018,Recognition / Analysis /Classification
Using Musical Relationships Between Chord Labels in Automatic Chord Extraction Tasks,2018,Recognition / Analysis /Classification
A Predictive Model for Music based on Learned Interval Representations,2018,Other
An End-to-end Framework for Audio-to-Score Music Transcription on Monophonic Excerpts,2018,Transcription and annotations
Evaluating Automatic Polyphonic Music Transcription,2018,"Transcription and annotations,Similarity"
Onsets and Frames: Dual-Objective Piano Transcription,2018,Transcription and annotations
Player Vs Transcriber: A Game Approach To Data Manipulation For Automatic Drum Transcription,2018,Transcription and annotations
A Flexible Approach to Automated Harmonic Analysis: Multiple Annotations of Chorales by Bach and Prætorius,2018,Recognition / Analysis /Classification
Evaluating a Collection of Sound-Tracing Data of Melodic Phrases,2018,Other
Main Melody Estimation with Source-Filter NMF and CRNN,2018,"Transcription and annotations,Similarity"
Functional Harmony Recognition of Symbolic Music Data with Multi-task Recurrent Neural Networks,2018,Recognition / Analysis /Classification
A Single-step Approach to Musical Tempo Estimation using a Convolutional Neural Network,2018,Transcription and annotations
Analysis of Common Design Choices in Deep Learning Systems for Downbeat Tracking,2018,"Human-computer interaction and interfaces,Recognition / Analysis /Classification"
Meter Detection and Alignment of MIDI Performance,2018,"Transcription and annotations,Systems issues"
A Timbre-based Approach to Estimate Key Velocity from Polyphonic Piano Recordings,2018,"Recognition / Analysis /Classification,Similarity"
Timbre Discrimination for Brief Instrument Sounds,2018,"Recognition / Analysis /Classification,Similarity"
Frame-level Instrument Recognition by Timbre and Pitch,2018,"Recognition / Analysis /Classification,Similarity"
Interactive Arrangement of Chords and Melodies Based on a Tree-Structured Generative Model,2018,Transcription and annotations
A Generalized Parsing Framework for Generative Models of Harmonic Syntax,2018,Other
An Energy-based Generative Sequence Model for Testing Sensory Theories of Western Harmony,2018,Other
"Automatic, Personalized, and Flexible Playlist Generation using Reinforcement Learning",2018,Other
"Bridging Audio Analysis, Perception and Synthesis with Perceptually-regularized Variational Timbre Spaces",2018,"Recognition / Analysis /Classification,Similarity"
Conditioning Deep Generative Raw Audio Models for Structured Automatic Music,2018,Other
Convolutional Generative Adversarial Networks with Binary Neurons for Polyphonic Music Generation,2018,Similarity
Cover Song Synthesis by Analogy,2018,Other
Part-invariant Model for Music Generation and Harmonization,2018,Other
Evaluating Language Models of Tonal Harmony,2018,Other
Skeleton Plays Piano: Online Generation of Pianist Body Movements from MIDI Performance,2018,"Transcription and annotations,Systems issues"
Towards Full-Pipeline Handwritten OMR with Musical Symbol Detection by U-Nets,2018,"Transcription and annotations,Recognition / Analysis /Classification"
Searching Page-Images of Early Music Scanned with OMR: A Scalable Solution Using Minimal Absent Words,2018,Recognition / Analysis /Classification
Optical Music Recognition in Mensural Notation with Region-based Convolutional Neural Networks,2018,Recognition / Analysis /Classification
Camera-PrIMuS: Neural End-to-End Optical Music Recognition on Realistic Monophonic Scores,2018,Recognition / Analysis /Classification
Document Analysis of Music Score Images with Selectional Auto-Encoders,2018,"Transcription and annotations,Recognition / Analysis /Classification"
Genre-Agnostic Key Classification With Convolutional Neural Networks,2018,"Knowledge representation,Similarity"
Deep Watershed Detector for Music Object Recognition,2018,Recognition / Analysis /Classification
Deep Neural Networks with Voice Entry Estimation Heuristics for Voice Separation in Symbolic Music Representations,2018,Transcription and annotations
Music Source Separation Using Stacked Hourglass Networks,2018,Transcription and annotations
The Northwestern University Source Separation Library,2018,Transcription and annotations
Improving Bass Saliency Estimation using Transfer Learning and Label Propagation,2018,Other
Improving Peak-picking Using Multiple Time-step Loss Functions,2018,Other
Zero-Mean Convolutions for Level-Invariant Singing Voice Detection,2018,Transcription and annotations
Music Generation and Transformation with Moment Matching-Scattering Inverse Networks,2018,Other
Wave-U-Net: A Multi-Scale Neural Network for End-to-End Audio Source Separation,2018,Transcription and annotations
SE and SNL diagrams: Flexible data structures for MIR,2018,Other
JSYMBOLIC 2.2: Extracting Features from Symbolic Music for use in Musicological and MIR Research,2018,Recognition / Analysis /Classification
Relevance of Musical Features for Cadence Detection,2018,"Transcription and annotations,Recognition / Analysis /Classification"
On the Relationships between Music-induced Emotion and Physiological Signals,2018,Other
Music Mood Detection Based on Audio and Lyrics with Deep Neural Net,2018,Transcription and annotations
Identifying Emotions in Opera Singing: Implications of Adverse Acoustic Conditions,2018,Other
Musical Texture and Expressivity Features for Music Emotion Recognition,2018,Recognition / Analysis /Classification
Shared Generative Representation of Auditory Concepts and EEG to Reconstruct Perceived and Imagined Music,2018,Other
Exploring Musical Relations Using Association Rule Networks,2018,Other
A Crowdsourced Experiment for Tempo Estimation of Electronic Dance Music,2018,Transcription and annotations
Computational Corpus Analysis: A Case Study on Jazz Solos,2018,Recognition / Analysis /Classification
Controlled Vocabularies for Music Metadata,2018,Other
"DALI: A Large Dataset of Synchronized Audio, Lyrics and notes, Automatically Created using Teacher-student Machine Learning Paradigm.",2018,"Corpora and databases,Transcription and annotations"
OpenMIC-2018: An Open Data-set for Multiple Instrument Recognition,2018,Recognition / Analysis /Classification
From Labeled to Unlabeled Data – On the Data Challenge in Automatic Drum Transcription,2018,Transcription and annotations
GuitarSet: A Dataset for Guitar Transcription,2018,"Corpora and databases,Transcription and annotations"
Musical-Linguistic Annotations of Il Lauro Secco,2018,Other
VocalSet: A Singing Voice Dataset,2018,"Corpora and databases,Transcription and annotations"
The NES Music Database: A multi-instrumental dataset with expressive performance attributes,2018,"Corpora and databases,Transcription and annotations,Systems issues"
Audio-Aligned Jazz Harmony Dataset for Automatic Chord Transcription and Corpus-based Research,2018,"Corpora and databases,Transcription and annotations"
Methodologies for Creating Symbolic Corpora of Western Music Before 1600,2018,Other
Precision of Sung Notes in Carnatic Music,2018,Other
Revisiting Singing Voice Detection: A quantitative review and the future outlook,2018,Transcription and annotations
Vocals in Music Matter: the Relevance of Vocals in the Minds of Listeners,2018,Other
Vocal Melody Extraction with Semantic Segmentation and Audio-symbolic Domain Transfer Learning,2018,"Transcription and annotations,Recognition / Analysis /Classification,Similarity"
Empirically Weighting the Importance of Decision Factors for Singing Preference,2018,Other
Analysis by Classification: A Comparative Study of Annotated and Algorithmically Extracted Patterns in Symbolic Music Data,2018,"Knowledge representation,Recognition / Analysis /Classification"
Generalized Skipgrams for Pattern Discovery in Polyphonic Streams,2018,"Recognition / Analysis /Classification,Similarity"
Comparison of Audio Features for Recognition of Western and Ethnic Instruments in Polyphonic Mixtures,2018,"Recognition / Analysis /Classification,Similarity"
Instrudive: A Music Visualization System Based on Automatically Recognized Instrumentation,2018,Other
Instrument Activity Detection in Polyphonic Music using Deep Neural Networks,2018,"Transcription and annotations,Recognition / Analysis /Classification,Similarity"
"Jazz Solo Instrument Classification with Convolutional Neural Networks, Source Separation, and Transfer Learning",2018,"Knowledge representation,Transcription and annotations,Recognition / Analysis /Classification"
Aligned Sub-Hierarchies: A Structure-based Approach to the Cover Song Task,2018,Other
Audio-to-Score Alignment using Transposition-invariant Features,2018,"Transcription and annotations,Recognition / Analysis /Classification"
Semi-supervised Lyrics and Solo-singing Alignment,2018,Transcription and annotations
Concert Stitch: Organization and Synchronization of Crowd Sourced Recordings,2018,Other
A Data-driven Approach to Mid-level Perceptual Musical Feature Modeling,2018,Other
